Variable,Series_Name,Series_template,Factor,notes,notes_variable
Final Energy|Industry|EInt Mfg|Food products|Electricity,Food Industry : Energy Use : Purchased Electricity,{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_FDP_PRC_NA_NA_TRLBTU.A,,does not include own generation,
Final Energy|Industry|EInt Mfg|Food products|Gas,Food Industry : Energy Use : Natural Gas,{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_FDP_NG_NA_NA_TRLBTU.A,,,
Final Energy|Industry|EInt Mfg|Food products|Oil,"Food Industry : Energy Use : Petroleum Subtotal, Reference, AEO2022",{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_FDP_PET_NA_NA_TRLBTU.A,,,
Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Food products,Food Industry : Carbon Dioxide Emissions,{EIA_dataset}.{EIA_scenario}.EMI_CO2_IDAL_FDP_NA_NA_NA_METNCO2.A,,"Includes emissions attributable to the fuels consumed to generate the purchased electricity, but not non-combustion
emissions from industrial processes.",
Output|Industry|EInt Mfg|Food products|Value,Food Industry : Value of Shipments,{EIA_dataset}.{EIA_scenario}.ECI_VOS_IDAL_FDP_NA_NA_NA_BLNY09DLR.A,,billion 2012$,
,,,,,
Final Energy|Industry|EInt Mfg|Paper|Biomass Solids,Paper Industry : Energy Use : Renewables,{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_PPM_REB_NA_NA_TRLBTU.A,,assume all renewables are biomass solids,
Final Energy|Industry|EInt Mfg|Paper|Coal,Paper Industry : Energy Use : Steam Coal,{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_PPM_STC_NA_NA_TRLBTU.A,,,
Final Energy|Industry|EInt Mfg|Paper|Electricity,Paper Industry : Energy Use : Purchased Electricity,{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_PPM_PRC_NA_NA_TRLBTU.A,,does not include own generation,
Final Energy|Industry|EInt Mfg|Paper|Gas,Paper Industry : Energy Use : Natural Gas,{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_PPM_NG_NA_NA_TRLBTU.A,,,
Final Energy|Industry|EInt Mfg|Paper|Oil,"Paper Industry : Energy Use : Petroleum Subtotal, Reference, AEO2022",{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_PPM_PET_NA_NA_TRLBTU.A,,,
Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Paper,Paper Industry : Carbon Dioxide Emissions,{EIA_dataset}.{EIA_scenario}.EMI_CO2_IDAL_PPM_NA_NA_NA_METNCO2.A,,"Includes emissions attributable to the fuels consumed to generate the purchased electricity, but not non-combustion
emissions from industrial processes.",
Output|Industry|EInt Mfg|Paper|Value,Paper Industry : Value of Shipments,{EIA_dataset}.{EIA_scenario}.ECI_VOS_IDAL_PPM_NA_NA_NA_BLNY09DLR.A,,billion 2012$,
,,,,,
Final Energy|Industry|EInt Mfg|Bulk chemicals|Biomass Solids,Bulk Chemical : Energy Use : Renewables,{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_BCH_REB_NA_NA_TRLBTU.A,,,
Final Energy|Industry|EInt Mfg|Bulk chemicals|Coal,Bulk Chemical : Energy Use : Steam Coal,{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_BCH_STC_NA_NA_TRLBTU.A,,,
Final Energy|Industry|EInt Mfg|Bulk chemicals|Electricity,Bulk Chemical : Energy Use : Purchased Electricity,{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_BCH_PRC_NA_NA_TRLBTU.A,,,
Final Energy|Industry|EInt Mfg|Bulk chemicals|Gas,Bulk Chemical : Energy Use : Natural Gas,{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_BCH_NG_NA_NA_TRLBTU.A,,,
Final Energy|Industry|EInt Mfg|Bulk chemicals|Oil,"Bulk Chemical : Energy Use : Petroleum Subtotal, Reference, AEO2022",{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_BCH_PET_NA_NA_TRLBTU.A,,,
Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Bulk chemicals,Bulk Chemical : Carbon Dioxide Emissions,{EIA_dataset}.{EIA_scenario}.EMI_CO2_IDAL_BCH_NA_NA_NA_METNCO2.A,,,
Output|Industry|EInt Mfg|Bulk chemicals|Value,Bulk Chemical : Value of Shipments,{EIA_dataset}.{EIA_scenario}.ECI_VOS_IDAL_BCH_NA_NA_NA_BLNY09DLR.A,,,
,,,,,
Final Energy|Industry|EInt Mfg|Glass|Biomass Solids,Glass Industry : Energy Use : Renewables,{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_GGR_REB_NA_NA_TRLBTU.A,,,
Final Energy|Industry|EInt Mfg|Glass|Coal,Glass Industry : Energy Use : Steam Coal,{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_GGR_STC_NA_NA_TRLBTU.A,,,
Final Energy|Industry|EInt Mfg|Glass|Electricity,Glass Industry : Energy Use : Purchased Electricity,{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_GGR_PRC_NA_NA_TRLBTU.A,,,
Final Energy|Industry|EInt Mfg|Glass|Gas,Glass Industry : Energy Use : Natural Gas,{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_GGR_NG_NA_NA_TRLBTU.A,,,
Final Energy|Industry|EInt Mfg|Glass|Oil,"Glass Industry : Energy Use : Petroleum Subtotal, Reference, AEO2022",{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_GGR_PET_NA_NA_TRLBTU.A,,,
Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Glass,Glass Industry : Carbon Dioxide Emissions,{EIA_dataset}.{EIA_scenario}.EMI_CO2_IDAL_GGR_NA_NA_NA_METNCO2.A,,,
Output|Industry|EInt Mfg|Glass|Value,Glass Industry : Value of Shipments,{EIA_dataset}.{EIA_scenario}.ECI_VOS_IDAL_GGR_NA_NA_NA_BLNY09DLR.A,,,
,,,,,
